keycontagemfarmacias;qtdfarmacias;nomecidadecontagem;ufcontagem;codigoibge
263;12;Descalvado;SP;3513702
264;12;Maracaí;SP;3528809
265;12;Guaraci;SP;3517901
266;12;Ilha Solteira;SP;3520442
267;11;Tambaú;SP;3553302
268;11;Valentim Gentil;SP;3556107
269;11;Iperó;SP;3521002
270;11;Santo Anastácio;SP;3547700
271;11;Bocaina;SP;3506805
272;11;Bernardino de Campos;SP;3506300
273;11;Cardoso;SP;3510708
274;11;Cafelândia;SP;3508801
275;11;Cajati;SP;3509254
276;11;Caconde;SP;3508702
277;11;Mirandopólis;SP;3530102
278;11;Palestina;SP;3535002
279;11;Ibirá;SP;3519402
280;11;Castilho;SP;3511003
281;11;Itaporanga;SP;3522802
282;11;Estrela d´Oeste;SP;3515202
283;10;Juquitiba;SP;3526209
284;10;Iacanga;SP;3519105
285;10;Rio Grande da Serra;SP;3544103
286;10;Elias Fausto;SP;3514908
287;10;Pirangi;SP;3539004
288;10;Igaraçu do Tietê;SP;3520004
289;10;Nhandeara;SP;3532603
290;10;Iepê;SP;3519907
291;10;Nazaré Paulista;SP;3532405
292;10;Pindorama;SP;3538105
293;10;Manduri;SP;3528601
294;10;Conchas;SP;3512308
295;10;Cesário Lange;SP;3511607
296;10;Mineiros do Tietê;SP;3529807
297;10;Brodowski;SP;3507803
298;10;Santo Antônio de Posse;SP;3548005
299;10;Tabapuã;SP;3552601
300;10;Macatuba;SP;3528007
301;9;Tapiratiba;SP;3553609
302;9;Jacupiranga;SP;3524600
303;9;Bom Jesus dos Perdões;SP;3507100
304;9;Miguelópolis;SP;3529708
305;9;Taguaí;SP;3553005
306;9;Ipuã;SP;3521309
307;9;Pinhalzinho;SP;3538204
308;9;Duartina;SP;3514502
309;9;Potirendaba;SP;3540804
310;9;Tupi Paulista;SP;3555109
311;9;Pariquera-Açu;SP;3536208
312;9;Ipaussu;SP;3520905
313;9;Cajobi;SP;3509304
314;9;Cordeirópolis;SP;3512407
315;9;Álvares Machado;SP;3501301
316;9;Quatá;SP;3541703
317;8;Araçariguama;SP;3502754
318;8;Holambra;SP;3519055
319;8;Guatapará;SP;3518859
320;8;Alumínio;SP;3501152
321;8;Cedral;SP;3511300
322;8;Flórida Paulista;SP;3516002
323;8;Divinolândia;SP;3513900
324;8;Vera Cruz;SP;3556602
325;8;Cunha;SP;3513603
326;8;Sales;SP;3544806
327;8;Piquete;SP;3538501
328;8;Ribeirão Bonito;SP;3542909
329;8;Charqueada;SP;3511706
330;8;São Bento do Sapucaí;SP;3548609
331;8;Irapuã;SP;3521507
332;8;Parapuã;SP;3536000
333;8;Santo Antônio do Aracanguá;SP;3548054
334;8;Miracatu;SP;3529906
335;8;Patrocínio Paulista;SP;3536307
336;8;Ibirarema;SP;3519501
