keycidadepotencial;nomecidadepotencial;ufcidadepotencial;codigoibge
311;Lucianópolis;SP;3527504
312;Luís Antônio;SP;3527603
313;Luiziânia;SP;3527702
314;Lupércio;SP;3527801
315;Lutécia;SP;3527900
316;Macatuba;SP;3528007
317;Macaubal;SP;3528106
318;Macedônia;SP;3528205
319;Magda;SP;3528304
320;Mairinque;SP;3528403
321;Mairiporã;SP;3528502
322;Manduri;SP;3528601
323;Marabá Paulista;SP;3528700
324;Maracaí;SP;3528809
325;Marapoama;SP;3528858
326;Mariápolis;SP;3528908
327;Marília;SP;3529005
328;Marinópolis;SP;3529104
329;Martinópolis;SP;3529203
330;Matão;SP;3529302
331;Mauá;SP;3529401
332;Mendonça;SP;3529500
333;Meridiano;SP;3529609
334;Mesópolis;SP;3529658
335;Miguelópolis;SP;3529708
336;Mineiros do Tietê;SP;3529807
337;Miracatu;SP;3529906
338;Mira Estrela;SP;3530003
339;Mirandópolis;SP;3530102
340;Mirante do Paranapanema;SP;3530201
341;Mirassol;SP;3530300
342;Mirassolândia;SP;3530409
343;Mococa;SP;3530508
344;Mogi das Cruzes;SP;3530607
345;Mogi Guaçu;SP;3530706
346;Mogi Mirim;SP;3530805
347;Mombuca;SP;3530904
348;Monções;SP;3531001
349;Mongaguá;SP;3531100
350;Monte Alegre do Sul;SP;3531209
351;Monte Alto;SP;3531308
352;Monte Aprazível;SP;3531407
353;Monte Azul Paulista;SP;3531506
354;Monte Castelo;SP;3531605
355;Monteiro Lobato;SP;3531704
356;Monte Mor;SP;3531803
357;Morro Agudo;SP;3531902
358;Morungaba;SP;3532009
359;Motuca;SP;3532058
360;Murutinga do Sul;SP;3532108
361;Nantes;SP;3532157
362;Narandiba;SP;3532207
363;Natividade da Serra;SP;3532306
364;Nazaré Paulista;SP;3532405
365;Neves Paulista;SP;3532504
366;Nhandeara;SP;3532603
367;Nipoã;SP;3532702
368;Nova Aliança;SP;3532801
369;Nova Campina;SP;3532827
370;Nova Canaã Paulista;SP;3532843
371;Nova Castilho;SP;3532868
372;Nova Europa;SP;3532900
373;Nova Granada;SP;3533007
374;Nova Guataporanga;SP;3533106
375;Nova Independência;SP;3533205
376;Novais;SP;3533254
377;Nova Luzitânia;SP;3533304
378;Nova Odessa;SP;3533403
379;Novo Horizonte;SP;3533502
380;Nuporanga;SP;3533601
381;Ocauçu;SP;3533700
382;Óleo;SP;3533809
383;Olímpia;SP;3533908
384;Onda Verde;SP;3534005
385;Oriente;SP;3534104
386;Orindiúva;SP;3534203
387;Orlândia;SP;3534302
388;Osasco;SP;3534401
389;Oscar Bressane;SP;3534500
390;Osvaldo Cruz;SP;3534609
391;Ourinhos;SP;3534708
392;Ouroeste;SP;3534757
393;Ouro Verde;SP;3534807
394;Pacaembu;SP;3534906
395;Palestina;SP;3535002
396;Palmares Paulista;SP;3535101
397;Palmeira d'Oeste;SP;3535200
398;Palmital;SP;3535309
399;Panorama;SP;3535408
400;Paraguaçu Paulista;SP;3535507
401;Paraibuna;SP;3535606
402;Paraíso;SP;3535705
403;Paranapanema;SP;3535804
404;Paranapuã;SP;3535903
405;Parapuã;SP;3536000
406;Pardinho;SP;3536109
407;Pariquera-Açu;SP;3536208
408;Parisi;SP;3536257
409;Patrocínio Paulista;SP;3536307
