ValorPIB,SetorPIB,AnoPIB,NomeCidadePIB,UFPIB,CodigoIBGE
,Indústria,2010,GUAPIAÇU,SP,3517505
,Indústria,2010,GUAPIARA,SP,3517604
,Indústria,2010,GUARÁ,SP,3517703
6834118000,Indústria,2010,GUARAÇAÍ,SP,3517802
,Indústria,2010,GUARACI,SP,3517901
2055693000,Indústria,2010,GUARANI D'OESTE,SP,3518008
,Indústria,2010,GUARANTÃ,SP,3518107
0,Indústria,2010,GUARARAPES,SP,3518206
,Indústria,2010,GUARAREMA,SP,3518305
1013672000,Indústria,2010,GUARATINGUETÁ,SP,3518404
,Indústria,2010,GUAREÍ,SP,3518503
,Indústria,2010,GUARIBA,SP,3518602
0,Indústria,2010,GUARUJÁ,SP,3518701
10107857000,Indústria,2010,GUARULHOS,SP,3518800
4365128000,Indústria,2010,GUATAPARÁ,SP,3518859
3387996000,Indústria,2010,GUZOLÂNDIA,SP,3518909
,Indústria,2010,HERCULÂNDIA,SP,3519006
0,Indústria,2010,HOLAMBRA,SP,3519055
3413926000,Indústria,2010,HORTOLÂNDIA,SP,3519071
,Indústria,2010,IACANGA,SP,3519105
6002691000,Indústria,2010,IACRI,SP,3519204
3860916000,Indústria,2010,IARAS,SP,3519253
,Indústria,2010,IBATÉ,SP,3519303
,Indústria,2010,IBIRÁ,SP,3519402
,Indústria,2010,IBIRAREMA,SP,3519501
,Indústria,2010,IBITINGA,SP,3519600
0,Indústria,2010,IBIÚNA,SP,3519709
,Indústria,2010,ICÉM,SP,3519808
6781669000,Indústria,2010,IEPÊ,SP,3519907
0,Indústria,2010,IGARAÇU DO TIETÊ,SP,3520004
,Indústria,2010,IGARAPAVA,SP,3520103
0,Indústria,2010,IGARATÁ,SP,3520202
,Indústria,2010,IGUAPE,SP,3520301
8578049000,Indústria,2010,ILHA COMPRIDA,SP,3520426
,Indústria,2010,ILHA SOLTEIRA,SP,3520442
0,Indústria,2010,ILHABELA,SP,3520400
2929318000,Indústria,2010,INDAIATUBA,SP,3520509
0,Indústria,2010,INDIANA,SP,3520608
3285012000,Indústria,2010,INDIAPORÃ,SP,3520707
4835747000,Indústria,2010,INÚBIA PAULISTA,SP,3520806
,Indústria,2010,IPAUSSU,SP,3520905
0,Indústria,2010,IPERÓ,SP,3521002
,Indústria,2010,IPEÚNA,SP,3521101
8047067000,Indústria,2010,IPIGUÁ,SP,3521150
1898922000,Indústria,2010,IPORANGA,SP,3521200
,Indústria,2010,IPUÃ,SP,3521309
,Indústria,2010,IRACEMÁPOLIS,SP,3521408
5880703000,Indústria,2010,IRAPUÃ,SP,3521507
2384923000,Indústria,2010,IRAPURU,SP,3521606
,Indústria,2010,ITABERÁ,SP,3521705
,Indústria,2010,ITAÍ,SP,3521804
,Indústria,2010,ITAJOBI,SP,3521903
3482376000,Indústria,2010,ITAJU,SP,3522000
,Indústria,2010,ITANHAÉM,SP,3522109
1204619000,Indústria,2010,ITAOCA,SP,3522158
0,Indústria,2010,ITAPECERICA DA SERRA,SP,3522208
,Indústria,2010,ITAPETININGA,SP,3522307
,Indústria,2010,ITAPEVA,SP,3522406
1012369000,Indústria,2010,ITAPEVI,SP,3522505
,Indústria,2010,ITAPIRA,SP,3522604
1041372000,Indústria,2010,ITAPIRAPUÃ PAULISTA,SP,3522653
,Indústria,2010,ITÁPOLIS,SP,3522703
6209902000,Indústria,2010,ITAPORANGA,SP,3522802
0,Indústria,2010,ITAPUÍ,SP,3522901
3270655000,Indústria,2010,ITAPURA,SP,3523008
