ContagemPop,FaixaEtariaPop,SexoPop,NomeCidadePopulacao,UFPopulacao,CodigoIBGE
230,30 a 34,H,Águas de Santa Bárbara,SP,3500550
256,35 a 39,H,Águas de Santa Bárbara,SP,3500550
215,40 a 44,H,Águas de Santa Bárbara,SP,3500550
251,45 a 49,H,Águas de Santa Bárbara,SP,3500550
226,50 a 54,H,Águas de Santa Bárbara,SP,3500550
216,55 a 59,H,Águas de Santa Bárbara,SP,3500550
226,60 a 64,H,Águas de Santa Bárbara,SP,3500550
215,65 a 69,H,Águas de Santa Bárbara,SP,3500550
164,70 a 74,H,Águas de Santa Bárbara,SP,3500550
91,75 a 79,H,Águas de Santa Bárbara,SP,3500550
70,80 a 84,H,Águas de Santa Bárbara,SP,3500550
20,85 a 89,H,Águas de Santa Bárbara,SP,3500550
16,90 e +,H,Águas de Santa Bárbara,SP,3500550
56,00 a 04,M,Águas de São Pedro,SP,3500600
63,05 a 09,M,Águas de São Pedro,SP,3500600
66,10 a 14,M,Águas de São Pedro,SP,3500600
59,15 a 19,M,Águas de São Pedro,SP,3500600
68,20 a 24,M,Águas de São Pedro,SP,3500600
57,25 a 29,M,Águas de São Pedro,SP,3500600
71,30 a 34,M,Águas de São Pedro,SP,3500600
90,35 a 39,M,Águas de São Pedro,SP,3500600
111,40 a 44,M,Águas de São Pedro,SP,3500600
99,45 a 49,M,Águas de São Pedro,SP,3500600
94,50 a 54,M,Águas de São Pedro,SP,3500600
91,55 a 59,M,Águas de São Pedro,SP,3500600
169,60 a 64,M,Águas de São Pedro,SP,3500600
119,65 a 69,M,Águas de São Pedro,SP,3500600
90,70 a 74,M,Águas de São Pedro,SP,3500600
67,75 a 79,M,Águas de São Pedro,SP,3500600
73,80 a 84,M,Águas de São Pedro,SP,3500600
29,85 a 89,M,Águas de São Pedro,SP,3500600
19,90 e +,M,Águas de São Pedro,SP,3500600
41,00 a 04,H,Águas de São Pedro,SP,3500600
57,05 a 09,H,Águas de São Pedro,SP,3500600
83,10 a 14,H,Águas de São Pedro,SP,3500600
73,15 a 19,H,Águas de São Pedro,SP,3500600
91,20 a 24,H,Águas de São Pedro,SP,3500600
80,25 a 29,H,Águas de São Pedro,SP,3500600
72,30 a 34,H,Águas de São Pedro,SP,3500600
83,35 a 39,H,Águas de São Pedro,SP,3500600
77,40 a 44,H,Águas de São Pedro,SP,3500600
80,45 a 49,H,Águas de São Pedro,SP,3500600
88,50 a 54,H,Águas de São Pedro,SP,3500600
86,55 a 59,H,Águas de São Pedro,SP,3500600
83,60 a 64,H,Águas de São Pedro,SP,3500600
93,65 a 69,H,Águas de São Pedro,SP,3500600
81,70 a 74,H,Águas de São Pedro,SP,3500600
52,75 a 79,H,Águas de São Pedro,SP,3500600
35,80 a 84,H,Águas de São Pedro,SP,3500600
26,85 a 89,H,Águas de São Pedro,SP,3500600
8,90 e +,H,Águas de São Pedro,SP,3500600
1174,00 a 04,M,Agudos,SP,3500709
1297,05 a 09,M,Agudos,SP,3500709
1205,10 a 14,M,Agudos,SP,3500709
1140,15 a 19,M,Agudos,SP,3500709
1289,20 a 24,M,Agudos,SP,3500709
1353,25 a 29,M,Agudos,SP,3500709
1441,30 a 34,M,Agudos,SP,3500709
1513,35 a 39,M,Agudos,SP,3500709
1535,40 a 44,M,Agudos,SP,3500709
1391,45 a 49,M,Agudos,SP,3500709
1203,50 a 54,M,Agudos,SP,3500709
1161,55 a 59,M,Agudos,SP,3500709
1057,60 a 64,M,Agudos,SP,3500709
856,65 a 69,M,Agudos,SP,3500709
630,70 a 74,M,Agudos,SP,3500709
418,75 a 79,M,Agudos,SP,3500709
301,80 a 84,M,Agudos,SP,3500709
168,85 a 89,M,Agudos,SP,3500709
87,90 e +,M,Agudos,SP,3500709
1164,00 a 04,H,Agudos,SP,3500709
1228,05 a 09,H,Agudos,SP,3500709
1351,10 a 14,H,Agudos,SP,3500709
1256,15 a 19,H,Agudos,SP,3500709
1324,20 a 24,H,Agudos,SP,3500709
1387,25 a 29,H,Agudos,SP,3500709
1381,30 a 34,H,Agudos,SP,3500709
1485,35 a 39,H,Agudos,SP,3500709
1465,40 a 44,H,Agudos,SP,3500709
1344,45 a 49,H,Agudos,SP,3500709
1175,50 a 54,H,Agudos,SP,3500709
988,55 a 59,H,Agudos,SP,3500709
924,60 a 64,H,Agudos,SP,3500709
768,65 a 69,H,Agudos,SP,3500709
535,70 a 74,H,Agudos,SP,3500709
340,75 a 79,H,Agudos,SP,3500709
210,80 a 84,H,Agudos,SP,3500709
97,85 a 89,H,Agudos,SP,3500709
39,90 e +,H,Agudos,SP,3500709
193,00 a 04,M,Alambari,SP,3500758
186,05 a 09,M,Alambari,SP,3500758
215,10 a 14,M,Alambari,SP,3500758
198,15 a 19,M,Alambari,SP,3500758
203,20 a 24,M,Alambari,SP,3500758
221,25 a 29,M,Alambari,SP,3500758
229,30 a 34,M,Alambari,SP,3500758
258,35 a 39,M,Alambari,SP,3500758
229,40 a 44,M,Alambari,SP,3500758
199,45 a 49,M,Alambari,SP,3500758
172,50 a 54,M,Alambari,SP,3500758
186,55 a 59,M,Alambari,SP,3500758
177,60 a 64,M,Alambari,SP,3500758
157,65 a 69,M,Alambari,SP,3500758
107,70 a 74,M,Alambari,SP,3500758
46,75 a 79,M,Alambari,SP,3500758
35,80 a 84,M,Alambari,SP,3500758
21,85 a 89,M,Alambari,SP,3500758
10,90 e +,M,Alambari,SP,3500758
174,00 a 04,H,Alambari,SP,3500758
232,05 a 09,H,Alambari,SP,3500758
221,10 a 14,H,Alambari,SP,3500758
205,15 a 19,H,Alambari,SP,3500758
232,20 a 24,H,Alambari,SP,3500758
212,25 a 29,H,Alambari,SP,3500758
215,30 a 34,H,Alambari,SP,3500758
260,35 a 39,H,Alambari,SP,3500758
232,40 a 44,H,Alambari,SP,3500758
203,45 a 49,H,Alambari,SP,3500758
175,50 a 54,H,Alambari,SP,3500758
160,55 a 59,H,Alambari,SP,3500758
193,60 a 64,H,Alambari,SP,3500758
159,65 a 69,H,Alambari,SP,3500758
117,70 a 74,H,Alambari,SP,3500758
65,75 a 79,H,Alambari,SP,3500758
27,80 a 84,H,Alambari,SP,3500758
13,85 a 89,H,Alambari,SP,3500758
4,90 e +,H,Alambari,SP,3500758
111,00 a 04,M,Alfredo Marcondes,SP,3500808
128,05 a 09,M,Alfredo Marcondes,SP,3500808
133,10 a 14,M,Alfredo Marcondes,SP,3500808
109,15 a 19,M,Alfredo Marcondes,SP,3500808
131,20 a 24,M,Alfredo Marcondes,SP,3500808
135,25 a 29,M,Alfredo Marcondes,SP,3500808
157,30 a 34,M,Alfredo Marcondes,SP,3500808
141,35 a 39,M,Alfredo Marcondes,SP,3500808
155,40 a 44,M,Alfredo Marcondes,SP,3500808
149,45 a 49,M,Alfredo Marcondes,SP,3500808
162,50 a 54,M,Alfredo Marcondes,SP,3500808
156,55 a 59,M,Alfredo Marcondes,SP,3500808
154,60 a 64,M,Alfredo Marcondes,SP,3500808
122,65 a 69,M,Alfredo Marcondes,SP,3500808
100,70 a 74,M,Alfredo Marcondes,SP,3500808
93,75 a 79,M,Alfredo Marcondes,SP,3500808
53,80 a 84,M,Alfredo Marcondes,SP,3500808
22,85 a 89,M,Alfredo Marcondes,SP,3500808
24,90 e +,M,Alfredo Marcondes,SP,3500808
132,00 a 04,H,Alfredo Marcondes,SP,3500808
122,05 a 09,H,Alfredo Marcondes,SP,3500808
128,10 a 14,H,Alfredo Marcondes,SP,3500808
138,15 a 19,H,Alfredo Marcondes,SP,3500808
145,20 a 24,H,Alfredo Marcondes,SP,3500808
142,25 a 29,H,Alfredo Marcondes,SP,3500808
129,30 a 34,H,Alfredo Marcondes,SP,3500808
149,35 a 39,H,Alfredo Marcondes,SP,3500808
170,40 a 44,H,Alfredo Marcondes,SP,3500808
155,45 a 49,H,Alfredo Marcondes,SP,3500808
152,50 a 54,H,Alfredo Marcondes,SP,3500808
144,55 a 59,H,Alfredo Marcondes,SP,3500808
151,60 a 64,H,Alfredo Marcondes,SP,3500808
97,65 a 69,H,Alfredo Marcondes,SP,3500808
85,70 a 74,H,Alfredo Marcondes,SP,3500808
89,75 a 79,H,Alfredo Marcondes,SP,3500808
42,80 a 84,H,Alfredo Marcondes,SP,3500808
28,85 a 89,H,Alfredo Marcondes,SP,3500808
12,90 e +,H,Alfredo Marcondes,SP,3500808
97,00 a 04,M,Altair,SP,3500907
128,05 a 09,M,Altair,SP,3500907
108,10 a 14,M,Altair,SP,3500907
109,15 a 19,M,Altair,SP,3500907
124,20 a 24,M,Altair,SP,3500907
104,25 a 29,M,Altair,SP,3500907
127,30 a 34,M,Altair,SP,3500907
120,35 a 39,M,Altair,SP,3500907
150,40 a 44,M,Altair,SP,3500907
110,45 a 49,M,Altair,SP,3500907
108,50 a 54,M,Altair,SP,3500907
103,55 a 59,M,Altair,SP,3500907
92,60 a 64,M,Altair,SP,3500907
74,65 a 69,M,Altair,SP,3500907
46,70 a 74,M,Altair,SP,3500907
54,75 a 79,M,Altair,SP,3500907
24,80 a 84,M,Altair,SP,3500907
12,85 a 89,M,Altair,SP,3500907
9,90 e +,M,Altair,SP,3500907
102,00 a 04,H,Altair,SP,3500907
108,05 a 09,H,Altair,SP,3500907
116,10 a 14,H,Altair,SP,3500907
118,15 a 19,H,Altair,SP,3500907
121,20 a 24,H,Altair,SP,3500907
124,25 a 29,H,Altair,SP,3500907
129,30 a 34,H,Altair,SP,3500907
145,35 a 39,H,Altair,SP,3500907
146,40 a 44,H,Altair,SP,3500907
120,45 a 49,H,Altair,SP,3500907
113,50 a 54,H,Altair,SP,3500907
112,55 a 59,H,Altair,SP,3500907
87,60 a 64,H,Altair,SP,3500907
68,65 a 69,H,Altair,SP,3500907
67,70 a 74,H,Altair,SP,3500907
39,75 a 79,H,Altair,SP,3500907
24,80 a 84,H,Altair,SP,3500907
8,85 a 89,H,Altair,SP,3500907
