ano;cod_ibge;municipio;sexo;idade;populacao
2010;3515004;Embu das Artes;Mulheres;25 a 29;12032
2010;3515004;Embu das Artes;Mulheres;30 a 34;11863
2010;3515004;Embu das Artes;Mulheres;35 a 39;10096
2010;3515004;Embu das Artes;Mulheres;40 a 44;8864
2010;3515004;Embu das Artes;Mulheres;45 a 49;7272
2010;3515004;Embu das Artes;Mulheres;50 a 54;6534
2010;3515004;Embu das Artes;Mulheres;55 a 59;5110
2010;3515004;Embu das Artes;Mulheres;60 a 64;3607
2010;3515004;Embu das Artes;Mulheres;65 a 69;2323
2010;3515004;Embu das Artes;Mulheres;70 a 74;1430
2010;3515004;Embu das Artes;Mulheres;75 a 79;885
2010;3515004;Embu das Artes;Mulheres;80 a 84;541
2010;3515004;Embu das Artes;Mulheres;85 a 89;242
2010;3515004;Embu das Artes;Mulheres;90 e +;139
2010;3515103;Embu-Guaçu;Homens;00 a 04;2280
2010;3515103;Embu-Guaçu;Homens;05 a 09;2687
2010;3515103;Embu-Guaçu;Homens;10 a 14;3194
2010;3515103;Embu-Guaçu;Homens;15 a 19;2800
2010;3515103;Embu-Guaçu;Homens;20 a 24;2736
2010;3515103;Embu-Guaçu;Homens;25 a 29;2689
2010;3515103;Embu-Guaçu;Homens;30 a 34;2542
2010;3515103;Embu-Guaçu;Homens;35 a 39;2319
2010;3515103;Embu-Guaçu;Homens;40 a 44;2119
2010;3515103;Embu-Guaçu;Homens;45 a 49;1830
2010;3515103;Embu-Guaçu;Homens;50 a 54;1712
2010;3515103;Embu-Guaçu;Homens;55 a 59;1305
2010;3515103;Embu-Guaçu;Homens;60 a 64;1048
2010;3515103;Embu-Guaçu;Homens;65 a 69;803
2010;3515103;Embu-Guaçu;Homens;70 a 74;504
2010;3515103;Embu-Guaçu;Homens;75 a 79;322
2010;3515103;Embu-Guaçu;Homens;80 a 84;173
2010;3515103;Embu-Guaçu;Homens;85 a 89;89
2010;3515103;Embu-Guaçu;Homens;90 e +;34
2010;3515103;Embu-Guaçu;Mulheres;00 a 04;2263
2010;3515103;Embu-Guaçu;Mulheres;05 a 09;2541
2010;3515103;Embu-Guaçu;Mulheres;10 a 14;3048
2010;3515103;Embu-Guaçu;Mulheres;15 a 19;2760
2010;3515103;Embu-Guaçu;Mulheres;20 a 24;2764
2010;3515103;Embu-Guaçu;Mulheres;25 a 29;2713
2010;3515103;Embu-Guaçu;Mulheres;30 a 34;2733
2010;3515103;Embu-Guaçu;Mulheres;35 a 39;2428
2010;3515103;Embu-Guaçu;Mulheres;40 a 44;2155
2010;3515103;Embu-Guaçu;Mulheres;45 a 49;1999
2010;3515103;Embu-Guaçu;Mulheres;50 a 54;1729
2010;3515103;Embu-Guaçu;Mulheres;55 a 59;1357
2010;3515103;Embu-Guaçu;Mulheres;60 a 64;1055
2010;3515103;Embu-Guaçu;Mulheres;65 a 69;728
2010;3515103;Embu-Guaçu;Mulheres;70 a 74;536
2010;3515103;Embu-Guaçu;Mulheres;75 a 79;374
2010;3515103;Embu-Guaçu;Mulheres;80 a 84;219
2010;3515103;Embu-Guaçu;Mulheres;85 a 89;112
2010;3515103;Embu-Guaçu;Mulheres;90 e +;69
2010;3515707;Ferraz de Vasconcelos;Homens;00 a 04;6643
2010;3515707;Ferraz de Vasconcelos;Homens;05 a 09;7106
2010;3515707;Ferraz de Vasconcelos;Homens;10 a 14;8495
2010;3515707;Ferraz de Vasconcelos;Homens;15 a 19;8064
2010;3515707;Ferraz de Vasconcelos;Homens;20 a 24;7982
2010;3515707;Ferraz de Vasconcelos;Homens;25 a 29;7611
2010;3515707;Ferraz de Vasconcelos;Homens;30 a 34;6693
2010;3515707;Ferraz de Vasconcelos;Homens;35 a 39;6315
2010;3515707;Ferraz de Vasconcelos;Homens;40 a 44;5916
2010;3515707;Ferraz de Vasconcelos;Homens;45 a 49;4890
2010;3515707;Ferraz de Vasconcelos;Homens;50 a 54;4146
2010;3515707;Ferraz de Vasconcelos;Homens;55 a 59;3158
2010;3515707;Ferraz de Vasconcelos;Homens;60 a 64;2102
2010;3515707;Ferraz de Vasconcelos;Homens;65 a 69;1336
2010;3515707;Ferraz de Vasconcelos;Homens;70 a 74;854
2010;3515707;Ferraz de Vasconcelos;Homens;75 a 79;450
2010;3515707;Ferraz de Vasconcelos;Homens;80 a 84;238
2010;3515707;Ferraz de Vasconcelos;Homens;85 a 89;92
2010;3515707;Ferraz de Vasconcelos;Homens;90 e +;52
2010;3515707;Ferraz de Vasconcelos;Mulheres;00 a 04;6294
